product_id,product_name,category,sale_id,units_sold,price_per_unit,sale_date,Total_Sales_Amount
PROD1005,Somebody,Electronics,1292,5,45248,2024-08-17,226240
PROD1005,Somebody,Electronics,1379,2,59169,2024-02-18,118338
PROD1005,Somebody,Electronics,1380,8,5577,2024-09-13,44616
PROD1005,Somebody,Electronics,1531,9,61269,2025-06-16,551421
PROD1005,Somebody,Electronics,1584,9,37015,2024-04-08,333135
PROD1005,Somebody,Electronics,1763,4,26864,2025-03-30,107456
PROD1005,Somebody,Electronics,1864,10,44731,2025-05-11,447310
PROD1005,Somebody,Electronics,1995,4,12285,2023-12-17,49140
PROD1009,Industry,Electronics,1027,9,13813,2024-09-27,124317
PROD1009,Industry,Electronics,1141,4,8966,2024-01-04,35864
PROD1009,Industry,Electronics,1255,4,43455,2024-02-04,173820
PROD1009,Industry,Electronics,1314,4,51329,2024-08-18,205316
PROD1009,Industry,Electronics,1497,1,41291,2023-09-12,41291
PROD1009,Industry,Electronics,1545,3,44247,2024-01-27,132741
PROD1009,Industry,Electronics,1894,1,9587,2024-10-02,9587
PROD1018,Natural,Electronics,1028,7,12975,2023-10-16,90825
PROD1018,Natural,Electronics,1038,5,12136,2025-04-29,60680
PROD1018,Natural,Electronics,1195,6,45253,2024-08-21,271518
PROD1018,Natural,Electronics,1275,10,35879,2023-08-01,358790
PROD1018,Natural,Electronics,1300,6,45036,2024-11-23,270216
PROD1018,Natural,Electronics,1304,4,23625,2025-05-10,94500
PROD1018,Natural,Electronics,1368,9,24262,2024-08-02,218358
PROD1018,Natural,Electronics,1450,3,39245,2025-03-29,117735
PROD1018,Natural,Electronics,1495,10,31398,2023-12-15,313980
PROD1018,Natural,Electronics,1540,4,19986,2024-07-05,79944
PROD1018,Natural,Electronics,1594,10,28348,2024-10-04,283480
PROD1018,Natural,Electronics,1813,9,58176,2024-06-30,523584
PROD1018,Natural,Electronics,1912,6,26122,2024-03-10,156732
PROD1022,Pull,Electronics,1409,7,31866,2024-10-23,223062
PROD1022,Pull,Electronics,1891,9,43659,2025-02-18,392931
PROD1027,Everybody,Electronics,1126,3,40527,2024-05-31,121581
PROD1027,Everybody,Electronics,1161,8,51022,2024-12-10,408176
PROD1027,Everybody,Electronics,1325,6,29678,2025-03-05,178068
PROD1027,Everybody,Electronics,1768,3,68211,2024-06-04,204633
PROD1027,Everybody,Electronics,1818,7,65699,2025-05-04,459893
PROD1027,Everybody,Electronics,1996,2,24859,2024-09-13,49718
PROD1028,Evidence,Electronics,1219,6,37959,2024-02-21,227754
PROD1028,Evidence,Electronics,1236,8,8612,2024-05-31,68896
PROD1028,Evidence,Electronics,1251,1,44399,2024-10-04,44399
PROD1028,Evidence,Electronics,1322,5,34461,2023-09-23,172305
