product_id,product_name,category,sale_id,units_sold,price_per_unit,sale_date
PROD1001,The,Clothing,1030,9,36440,2024-04-18
PROD1001,The,Clothing,1032,4,3525,2024-03-20
PROD1001,The,Clothing,1207,8,61821,2025-01-23
PROD1001,The,Clothing,1213,4,5257,2024-06-09
PROD1001,The,Clothing,1262,7,65599,2024-04-01
PROD1001,The,Clothing,1317,8,34683,2024-01-02
PROD1001,The,Clothing,1347,2,2190,2023-09-13
PROD1001,The,Clothing,1356,4,33161,2025-06-26
PROD1001,The,Clothing,1444,7,6612,2025-05-13
PROD1001,The,Clothing,1484,4,53187,2023-09-08
PROD1001,The,Clothing,1523,10,17118,2025-04-07
PROD1001,The,Clothing,1597,10,40660,2023-09-08
PROD1001,The,Clothing,1650,8,1912,2023-09-15
PROD1001,The,Clothing,1835,6,58631,2024-07-28
PROD1001,The,Clothing,1922,7,15264,2023-12-16
PROD1002,Actually,Clothing,1185,8,62034,2024-12-24
PROD1002,Actually,Clothing,1200,5,65574,2025-03-05
PROD1002,Actually,Clothing,1320,10,47275,2025-05-28
PROD1002,Actually,Clothing,1327,7,1771,2025-01-30
PROD1002,Actually,Clothing,1469,4,36715,2024-05-20
PROD1002,Actually,Clothing,1633,2,9178,2024-09-05
PROD1002,Actually,Clothing,1649,5,4328,2024-07-24
PROD1002,Actually,Clothing,1681,1,36813,2023-07-07
PROD1002,Actually,Clothing,1744,9,8002,2024-07-19
PROD1002,Actually,Clothing,1839,9,59443,2025-03-02
PROD1003,Read,Clothing,1058,1,50456,2024-01-03
PROD1003,Read,Clothing,1337,10,10423,2025-05-07
PROD1003,Read,Clothing,1353,2,4473,2024-01-28
PROD1003,Read,Clothing,1554,5,61962,2024-04-25
PROD1003,Read,Clothing,1643,4,29884,2023-08-01
PROD1003,Read,Clothing,1900,3,22672,2024-08-05
PROD1003,Read,Clothing,1945,2,37640,2024-01-20
PROD1003,Read,Clothing,1946,5,41768,2023-11-27
PROD1004,Election,Toys,1177,6,2156,2024-01-09
